StopCount,StopCountDrugs,LSOA21CD,Borough,PopulationLSOA,EthnicMinority,IncomeDomainScore,CrimeSum,DrugCrimeSum,MeanHousePrice,PoliceDept,StopCount_z,EthnicMinority_z,MeanHousePrice_z,CrimeSum_z,DrugCrimeSum_z,IncomeDomainScore_z,gini
40.0,15.0,E01004609,Wandsworth,2135,18.36,0.029,857.0,15.0,931814.0,London,0.1,-1.434,0.509,2.281,0.484,-1.454,0.385531299992987
13.0,5.0,E01004610,Wandsworth,1984,47.83,0.102,132.0,2.0,700138.0,London,-0.248,0.141,0.041,-0.216,-0.312,-0.457,0.1743829993672878
66.0,61.0,E01004306,Tower Hamlets,1843,60.5,0.217,544.0,37.0,1388354.0,London,0.436,0.818,1.433,1.203,1.832,1.113,0.3616496457954186
57.0,45.0,E01004483,Wandsworth,2104,34.6,0.086,182.0,10.0,458799.0,London,0.32,-0.566,-0.447,-0.044,0.178,-0.675,0.2038725001880373
231.0,148.0,E01035669,Tower Hamlets,1380,51.74,0.13545803820562352,13.0,0.0,680011.4373197248,London,2.563,0.35,-0.0,-0.626,-0.435,0.0,0.1594585970952379
3.0,2.0,E01004611,Wandsworth,1549,40.99,0.092,105.0,2.0,755189.0,London,-0.376,-0.225,0.152,-0.309,-0.312,-0.593,0.1535463988447099
60.0,44.0,E01004336,Waltham Forest,1555,54.66,0.125,245.0,10.0,500970.0,London,0.358,0.506,-0.362,0.173,0.178,-0.143,0.1756531477893707
1.0,1.0,E01004612,Wandsworth,1603,58.45,0.158,162.0,3.0,705873.0,London,-0.402,0.709,0.052,-0.112,-0.251,0.308,0.1928700849737745
3.0,0.0,E01004337,Waltham Forest,1740,59.37,0.169,159.0,3.0,492245.0,London,-0.376,0.758,-0.38,-0.123,-0.251,0.458,0.1253583599387868
39.0,20.0,E01004613,Wandsworth,1692,56.56,0.221,242.0,5.0,567097.0,London,0.088,0.608,-0.228,0.163,-0.128,1.168,0.2906849521614661
0.0,0.0,E01004338,Waltham Forest,2019,43.59,0.113,77.0,5.0,570417.0,London,-0.415,-0.086,-0.222,-0.405,-0.128,-0.307,0.1420045131676795
124.0,105.0,E01004307,Tower Hamlets,2335,42.78,0.056,958.0,16.0,898744.0,London,1.183,-0.129,0.442,2.629,0.545,-1.085,0.3668034065494867
42.0,34.0,E01004614,Wandsworth,1972,41.58,0.127,202.0,11.0,552417.0,London,0.126,-0.193,-0.258,0.025,0.239,-0.115,0.1899218161407685
153.0,115.0,E01035670,Tower Hamlets,4282,65.79,0.13545803820562352,23.0,0.0,680011.4373197248,London,1.557,1.101,-0.0,-0.591,-0.435,0.0,0.2211636752349094
8.0,6.0,E01004339,Waltham Forest,1880,47.29,0.13,91.0,4.0,471661.0,London,-0.312,0.112,-0.421,-0.357,-0.19,-0.075,0.2432626859165142
8.0,5.0,E01004484,Wandsworth,1495,26.69,0.101,94.0,3.0,1006191.0,London,-0.312,-0.989,0.66,-0.347,-0.251,-0.471,0.2655711262761752
33.0,28.0,E01004308,Tower Hamlets,1442,67.41,0.223,150.0,6.0,530112.0,London,0.01,1.188,-0.303,-0.154,-0.067,1.195,0.2074330290068519
32.0,28.0,E01004615,Wandsworth,1648,53.64,0.254,200.0,13.0,594282.0,London,-0.003,0.452,-0.173,0.018,0.362,1.619,0.2165559772296015
11.0,6.0,E01035671,Tower Hamlets,2162,62.03,0.13545803820562352,0.0,0.0,680011.4373197248,London,-0.273,0.9,-0.0,-0.67,-0.435,0.0,0.1857618529066845
31.0,25.0,E01004340,Waltham Forest,1881,58.05,0.265,160.0,11.0,510449.0,London,-0.016,0.688,-0.343,-0.119,0.239,1.769,0.1929957854296281
4.0,3.0,E01004485,Wandsworth,1731,27.15,0.113,220.0,1.0,793449.0,London,-0.364,-0.964,0.229,0.087,-0.373,-0.307,0.3290723161331176
59.0,42.0,E01004309,Tower Hamlets,2793,70.35,0.261,682.0,16.0,460973.0,London,0.345,1.345,-0.443,1.679,0.545,1.714,0.3709292604151898
10.0,3.0,E01004616,Wandsworth,1897,42.49,0.096,129.0,6.0,502091.0,London,-0.286,-0.144,-0.36,-0.226,-0.067,-0.539,0.2326359871567447
