StopCount,StopCountDrugs,LSOA21CD,Borough,PopulationLSOA,EthnicMinority,IncomeDomainScore,CrimeSum,DrugCrimeSum,MeanHousePrice,PoliceDept
14.0,5.0,E01003187,Lambeth,2315,52.4,0.26,181.0,6.0,512222.0,London
28.0,13.0,E01003426,Merton,1759,46.73,0.062,122.0,1.0,844867.0,London
10.0,7.0,E01033322,Lewisham,1255,50.68,0.119,94.0,4.0,363195.0,London
41.0,26.0,E01003290,Lewisham,1911,53.06,0.272,274.0,13.0,387595.0,London
29.0,10.0,E01003188,Lambeth,1269,70.13,0.239,123.0,5.0,531348.0,London
261.0,155.0,E01032582,Lambeth,2282,50.74,0.155,1612.0,67.0,1876548.0,London
49.0,31.0,E01033208,Lambeth,1708,48.65,0.086,252.0,1.0,857498.0,London
45.0,25.0,E01033862,Lambeth,1398,46.07,,15.0,,,London
19.0,14.0,E01033863,Lambeth,1327,59.31,,9.0,1.0,,London
4.0,2.0,E01033864,Lambeth,1033,51.31,,6.0,1.0,,London
50.0,23.0,E01033865,Lambeth,1520,44.47,,13.0,,,London
18.0,14.0,E01033866,Lambeth,1118,51.79,,2.0,,,London
3.0,2.0,E01003189,Lewisham,1767,56.42,0.266,172.0,8.0,391893.0,London
37.0,19.0,E01003190,Lewisham,2318,68.33,0.232,454.0,4.0,322663.0,London
49.0,29.0,E01003191,Lewisham,1662,53.25,0.221,123.0,7.0,307605.0,London
32.0,16.0,E01003192,Lewisham,1788,63.09,0.284,222.0,13.0,337657.0,London
31.0,19.0,E01003193,Lewisham,1801,43.86,0.16,609.0,16.0,500100.0,London
63.0,36.0,E01003194,Lewisham,1769,56.25,0.232,256.0,9.0,488998.0,London
12.0,9.0,E01003195,Lewisham,1487,51.85,0.131,114.0,3.0,427593.0,London
1.0,0.0,E01003196,Lewisham,1761,61.61,0.23,304.0,13.0,391460.0,London
41.0,15.0,E01003197,Lewisham,1657,59.57,0.29,215.0,2.0,393900.0,London
8.0,5.0,E01003198,Lewisham,1490,29.46,0.138,128.0,6.0,938207.0,London
56.0,21.0,E01003199,Lewisham,1972,29.41,0.084,337.0,38.0,565822.0,London
89.0,56.0,E01003200,Lewisham,1475,18.85,0.043,234.0,13.0,885906.0,London
126.0,76.0,E01003201,Lewisham,1681,43.96,0.163,276.0,9.0,531439.0,London
9.0,6.0,E01003202,Lewisham,1560,20.26,0.04,123.0,6.0,699173.0,London
15.0,6.0,E01003203,Lewisham,1967,47.64,0.183,266.0,11.0,369721.0,London
24.0,21.0,E01003204,Lewisham,1610,45.71,0.126,79.0,2.0,750867.0,London
7.0,5.0,E01003205,Lewisham,1392,56.54,0.241,83.0,1.0,,London
4.0,3.0,E01003206,Lewisham,1408,26.49,0.086,94.0,4.0,852063.0,London
230.0,130.0,E01003207,Lewisham,2336,57.41,0.233,310.0,16.0,360980.0,London
,,E01003209,Lewisham,1895,52.93,0.145,140.0,4.0,503989.0,London
35.0,23.0,E01003210,Lewisham,1774,40.14,0.105,230.0,13.0,509619.0,London
49.0,22.0,E01003211,Lewisham,1557,36.03,0.131,188.0,4.0,604660.0,London
36.0,18.0,E01003212,Lewisham,2008,38.15,0.13,226.0,10.0,612508.0,London
3.0,2.0,E01003213,Lewisham,1965,38.32,0.121,219.0,5.0,701203.0,London
11.0,5.0,E01003214,Lewisham,1774,44.42,0.15,245.0,4.0,581563.0,London
46.0,33.0,E01003215,Lewisham,1892,51.48,0.104,402.0,24.0,535979.0,London
28.0,16.0,E01003216,Lewisham,1671,53.56,0.13,149.0,7.0,626007.0,London
13.0,7.0,E01003217,Lewisham,1930,50.52,0.131,110.0,5.0,552955.0,London
,,E01003218,Lewisham,1553,53.19,0.111,58.0,1.0,622233.0,London
18.0,8.0,E01003219,Lewisham,1726,61.65,0.122,142.0,4.0,507483.0,London
29.0,20.0,E01003427,Merton,1974,50.1,0.106,377.0,8.0,390062.0,London
52.0,40.0,E01003428,Merton,1516,26.45,0.063,78.0,10.0,848937.0,London
16.0,7.0,E01003429,Merton,1631,60.39,0.117,110.0,2.0,477938.0,London
13.0,4.0,E01003430,Merton,1670,69.76,0.228,254.0,6.0,332533.0,London
34.0,20.0,E01003431,Merton,1702,62.98,0.201,168.0,6.0,381161.0,London
2.0,2.0,E01003432,Merton,1710,58.13,0.299,67.0,3.0,,London
12.0,7.0,E01003433,Merton,1593,65.47,0.129,86.0,5.0,371011.0,London
17.0,10.0,E01003434,Merton,1545,61.81,0.092,89.0,2.0,489263.0,London
15.0,4.0,E01003435,Merton,2129,55.94,0.134,197.0,5.0,365587.0,London
1.0,1.0,E01003436,Merton,1742,41.79,0.165,112.0,,446448.0,London
4.0,1.0,E01003437,Merton,2029,43.52,0.104,196.0,7.0,493090.0,London
2.0,2.0,E01003438,Merton,1827,39.9,0.182,166.0,,402006.0,London
55.0,32.0,E01003439,Merton,1589,45.88,0.157,205.0,11.0,445705.0,London
13.0,8.0,E01003440,Merton,1671,46.38,0.186,159.0,7.0,372289.0,London
26.0,17.0,E01003441,Merton,1899,52.4,0.161,157.0,2.0,440656.0,London
51.0,28.0,E01003291,Lewisham,1541,62.3,0.285,436.0,16.0,506765.0,London
1.0,0.0,E01003442,Merton,1681,25.34,0.031,50.0,1.0,1378616.0,London
88.0,49.0,E01003292,Lewisham,1791,49.13,0.111,248.0,11.0,552715.0,London
1.0,1.0,E01003443,Merton,1630,18.4,0.031,104.0,14.0,1186971.0,London
123.0,49.0,E01003293,Lewisham,1566,47.7,0.152,303.0,17.0,481763.0,London
27.0,18.0,E01033324,Lewisham,1540,42.47,0.198,180.0,9.0,576570.0,London
1.0,0.0,E01003444,Merton,1608,21.08,0.033,48.0,,1037769.0,London
8.0,5.0,E01003295,Lewisham,1790,43.91,0.179,113.0,6.0,493158.0,London
7.0,1.0,E01033325,Lewisham,1365,43.74,0.045,94.0,3.0,324780.0,London
4.0,2.0,E01003445,Merton,1809,31.45,0.065,92.0,5.0,940788.0,London
15.0,11.0,E01003297,Lewisham,1701,54.61,0.122,214.0,20.0,236445.0,London
169.0,101.0,E01033327,Lewisham,2206,46.19,0.139,961.0,42.0,465304.0,London
21.0,5.0,E01003446,Merton,1957,30.81,0.079,186.0,3.0,585889.0,London
24.0,12.0,E01003298,Lewisham,1281,75.1,0.222,85.0,2.0,351286.0,London
21.0,11.0,E01033341,Lewisham,1319,54.66,0.182,206.0,16.0,414586.0,London
39.0,20.0,E01003447,Merton,1602,35.33,0.158,144.0,4.0,358070.0,London
1.0,0.0,E01003448,Merton,2300,43.35,0.144,252.0,4.0,354674.0,London
41.0,16.0,E01003299,Lewisham,1791,50.2,0.185,420.0,10.0,627961.0,London
1.0,0.0,E01034387,Lewisham,1604,36.16,,2.0,,,London
3.0,2.0,E01003449,Merton,1873,52.11,0.136,161.0,2.0,449115.0,London
17.0,0.0,E01034388,Lewisham,1279,46.05,,2.0,,,London
28.0,19.0,E01003300,Lewisham,1488,71.1,0.25,144.0,8.0,422625.0,London
11.0,7.0,E01003450,Merton,1798,40.04,0.182,145.0,2.0,397953.0,London
11.0,4.0,E01034389,Lewisham,1669,58.48,,3.0,1.0,,London
25.0,14.0,E01003301,Lewisham,2629,59.49,0.131,234.0,5.0,397599.0,London
22.0,14.0,E01003451,Merton,1944,40.38,0.07,71.0,3.0,547113.0,London
13.0,8.0,E01034390,Lewisham,1507,44.79,,8.0,,,London
76.0,38.0,E01003302,Lewisham,1861,63.46,0.209,197.0,11.0,295029.0,London
16.0,13.0,E01003452,Merton,2228,46.45,0.194,238.0,15.0,326258.0,London
80.0,51.0,E01034391,Lewisham,1625,46.83,,2.0,,,London
191.0,144.0,E01003303,Lewisham,1719,63.7,0.252,564.0,40.0,389630.0,London
8.0,7.0,E01003453,Merton,1837,41.86,0.155,160.0,5.0,419901.0,London
69.0,33.0,E01034392,Lewisham,1728,53.36,,4.0,1.0,,London
50.0,28.0,E01003304,Lewisham,2246,49.24,0.203,697.0,33.0,352551.0,London
5.0,1.0,E01003454,Merton,1364,27.71,0.054,40.0,4.0,858576.0,London
6.0,2.0,E01034393,Lewisham,1090,40.09,,5.0,1.0,,London
18.0,5.0,E01003305,Lewisham,2294,64.47,0.271,205.0,3.0,479768.0,London
22.0,12.0,E01003455,Merton,1670,29.52,0.08,130.0,7.0,514563.0,London
313.0,125.0,E01034394,Lewisham,1248,44.47,,14.0,,,London
3.0,2.0,E01003307,Lewisham,1598,42.3,0.126,122.0,2.0,590845.0,London
125.0,64.0,E01003456,Merton,1602,27.15,0.072,541.0,19.0,894978.0,London
49.0,30.0,E01034395,Lewisham,1692,69.5,,6.0,,,London
28.0,20.0,E01003308,Lewisham,1790,41.73,0.149,191.0,6.0,496715.0,London
8.0,1.0,E01003457,Merton,1628,22.73,0.026,58.0,2.0,992400.0,London
1.0,0.0,E01003355,Merton,1767,29.15,0.045,99.0,2.0,712105.0,London
12.0,8.0,E01003309,Lewisham,1614,49.13,0.247,144.0,5.0,534960.0,London
4.0,4.0,E01003458,Merton,1758,22.53,0.041,94.0,3.0,822588.0,London
25.0,13.0,E01003356,Merton,1838,25.14,0.047,132.0,4.0,863045.0,London
13.0,5.0,E01003310,Lewisham,1589,43.99,0.185,147.0,1.0,393787.0,London
42.0,25.0,E01003459,Merton,2181,29.44,0.149,148.0,5.0,540509.0,London
35.0,15.0,E01003357,Merton,1867,50.88,0.226,253.0,5.0,463657.0,London
24.0,12.0,E01003311,Lewisham,1600,40.0,0.094,124.0,7.0,634876.0,London
58.0,20.0,E01003460,Merton,1406,15.5,0.072,143.0,7.0,2801206.0,London
11.0,3.0,E01003358,Merton,1797,30.83,0.034,178.0,5.0,741782.0,London
14.0,10.0,E01003312,Lewisham,1756,37.64,0.099,161.0,2.0,574410.0,London
25.0,12.0,E01003359,Merton,1748,29.58,0.128,235.0,5.0,643304.0,London
15.0,12.0,E01003313,Lewisham,1572,51.4,0.24,229.0,5.0,421715.0,London
4.0,2.0,E01003314,Lewisham,1645,37.51,0.102,70.0,2.0,643649.0,London
2.0,0.0,E01003315,Lewisham,1307,37.72,0.168,113.0,5.0,508474.0,London
3.0,1.0,E01003316,Lewisham,1480,34.32,0.111,169.0,5.0,600530.0,London
428.0,309.0,E01003318,Lewisham,2075,62.6,0.226,842.0,59.0,282559.0,London
199.0,115.0,E01003319,Lewisham,1791,62.76,0.191,251.0,9.0,404978.0,London
16.0,13.0,E01003320,Lewisham,1582,59.8,0.237,285.0,17.0,440934.0,London
11.0,9.0,E01003321,Lewisham,1748,51.89,0.183,237.0,7.0,500022.0,London
13.0,9.0,E01003322,Lewisham,1629,41.8,0.14,147.0,11.0,546926.0,London
26.0,18.0,E01003323,Lewisham,1510,51.66,0.191,179.0,5.0,470973.0,London
145.0,115.0,E01003324,Lewisham,1687,63.07,0.205,386.0,55.0,433111.0,London
78.0,58.0,E01003325,Lewisham,1811,64.61,0.193,148.0,6.0,475362.0,London
6.0,4.0,E01003326,Lewisham,1816,49.06,0.2,163.0,3.0,501271.0,London
26.0,15.0,E01003327,Lewisham,1634,32.25,0.084,296.0,4.0,570936.0,London
1.0,1.0,E01003683,Redbridge,2189,84.01,0.155,122.0,5.0,445670.0,London
1.0,1.0,E01003684,Redbridge,1866,87.41,0.168,69.0,2.0,421369.0,London
,,E01003685,Redbridge,1920,89.01,0.177,141.0,2.0,405512.0,London
14.0,11.0,E01003686,Redbridge,2020,88.56,0.152,198.0,9.0,496236.0,London
53.0,41.0,E01003688,Redbridge,1845,89.05,0.171,276.0,9.0,,London
304.0,210.0,E01003689,Redbridge,2232,85.93,0.182,1529.0,76.0,381669.0,London
163.0,130.0,E01003690,Redbridge,2156,72.4,0.11,653.0,35.0,577040.0,London
6.0,5.0,E01003691,Redbridge,1604,83.48,0.113,86.0,3.0,472056.0,London
4.0,2.0,E01003692,Redbridge,1644,79.14,0.124,203.0,7.0,635833.0,London
21.0,15.0,E01003693,Redbridge,1704,84.45,0.111,111.0,6.0,744284.0,London
11.0,7.0,E01003694,Redbridge,1465,83.69,0.127,106.0,2.0,628525.0,London
5.0,3.0,E01003695,Redbridge,1519,74.0,0.171,81.0,3.0,376722.0,London
6.0,5.0,E01003696,Redbridge,1785,75.41,0.121,90.0,4.0,467932.0,London
31.0,16.0,E01003697,Redbridge,1727,83.15,0.113,331.0,10.0,572800.0,London
,,E01003698,Redbridge,1527,46.3,0.075,85.0,,556548.0,London
9.0,7.0,E01003699,Redbridge,1552,37.56,0.085,109.0,5.0,420156.0,London
13.0,11.0,E01003700,Redbridge,2526,50.48,0.115,193.0,4.0,482779.0,London
